dataset,scope,label_value,feature,n,mean,std,median,min,max,IQR
dataset1,subject_overall,,PPE,252,0.7462842195767196,0.11999588747317114,0.8020366666666667,0.31434666666666666,0.8699266666666666,0.13204666666666665
dataset1,subject_overall,,DFA,252,0.7004139417989418,0.06628354996526943,0.6994066666666667,0.5559666666666666,0.8511133333333333,0.10132833333333335
dataset1,subject_overall,,RPDE,252,0.48905760582010577,0.1271952081980079,0.4831166666666667,0.19385333333333335,0.8264766666666666,0.18150166666666662
dataset1,subject_overall,,numPulses,252,323.97222222222223,93.22776055792298,317.3333333333333,88.66666666666667,603.3333333333334,126.33333333333331
dataset1,subject_overall,,numPeriodsPulses,252,322.67857142857144,93.39936641173728,316.16666666666663,82.33333333333333,596.0,125.83333333333326
dataset1,subject_overall,,meanPeriodPulses,252,0.006360002284391535,0.0017000566078662898,0.006091775666666667,0.0032725933333333334,0.011608278666666666,0.002427326666666667
dataset1,subject_overall,,stdDevPeriodPulses,252,0.0003829400833333334,0.0005341493828068412,0.00010272716666666665,1.4033333333333333e-05,0.002675024,0.00047658241666666664
dataset1,subject_overall,,locPctJitter,252,0.0023244265277777777,0.002384886306944493,0.0015233333333333331,0.00027,0.02258,0.001538333333333333
dataset1,subject_overall,,locAbsJitter,252,1.6733911375661378e-05,2.0748558335142285e-05,9.764999999999999e-06,9.106666666666666e-07,0.00019023266666666667,1.366583333333333e-05
dataset1,subject_overall,,rapJitter,252,0.0006049931626984128,0.000885601601017576,0.00031999999999999997,2.666666666666667e-05,0.008736666666666667,0.00048583333333333334
dataset1,subject_overall,,ppq5Jitter,252,0.001158966501322751,0.0015665071233872802,0.00068,7.999999999999999e-05,0.015626666666666667,0.0008641666666666666
dataset1,subject_overall,,ddpJitter,252,0.0018150854973544973,0.0026568982819311126,0.0009583333333333334,7.999999999999999e-05,0.02621,0.0014616666666666667
dataset1,subject_overall,,locShimmer,252,0.06747323413492065,0.03759566144989814,0.058164999999999994,0.018023333333333332,0.21331666666666668,0.04436416666666668
dataset1,subject_overall,,locDbShimmer,252,0.6064195357804233,0.33441086232919487,0.5365,0.15566666666666668,1.8356666666666666,0.41408333333333347
dataset1,subject_overall,,apq3Shimmer,252,0.03437513483862434,0.019435756289410164,0.03018,0.008546666666666666,0.11478,0.023005000000000005
dataset1,subject_overall,,apq5Shimmer,252,0.04117476328042328,0.02374626356825356,0.03513166666666667,0.011250000000000001,0.14165666666666665,0.027682500000000002
dataset1,subject_overall,,apq11Shimmer,252,0.05536636172619047,0.02854093547205552,0.04863000000000001,0.01402,0.16541666666666666,0.035855
dataset1,subject_overall,,ddaShimmer,252,0.1031253249074074,0.05830697845123216,0.09053666666666667,0.02564,0.34434666666666663,0.06900916666666666
dataset1,subject_overall,,meanAutoCorrHarmonicity,252,0.9615082010582011,0.05948140609709421,0.9831278333333333,0.6107,0.9982343333333333,0.03087149999999994
dataset1,subject_overall,,meanNoiseToHarmHarmonicity,252,0.05113138359788359,0.09647703860733403,0.0174085,0.0017716666666666668,0.7112933333333333,0.036471833333333335
dataset1,subject_overall,,meanHarmToNoiseHarmonicity,252,18.859632275132274,5.21263843035652,19.198166666666665,2.1286666666666667,29.654666666666667,6.888833333333334
dataset1,subject_overall,,minIntensity,252,70.82860927228836,8.485445011200495,74.33722454,33.93018174333333,81.21500791666666,9.765715188333331
dataset1,subject_overall,,maxIntensity,252,76.13537094056878,6.292306839644833,78.85804630833334,47.84081557333334,84.31402483,6.6839814600000125
dataset1,subject_overall,,meanIntensity,252,73.9970077720238,6.893483536617831,77.05680658,43.888556853333334,83.04349275,8.007026587499993
dataset1,subject_overall,,f1,252,647.1745190084656,128.98065679191592,641.9659761,310.8387479,973.9209121999999,164.96988708333333
dataset1,subject_overall,,f2,252,1233.852087708069,158.7134577692745,1207.9572908333334,846.594363,1834.2748846666666,203.64400958333363
dataset1,subject_overall,,f3,252,2562.425251033069,355.9736813975846,2619.8241510000003,1448.9921116666665,3371.6320309999996,395.5543343333334
dataset1,subject_overall,,f4,252,3547.2592435304236,315.9675033106517,3573.832698666666,2586.9528686666667,4364.806438333333,435.4355254999996
dataset1,subject_overall,,b1,252,213.36323654961637,202.72244735079676,154.39383393333333,28.89265697333333,1691.2226247333335,147.58447917416666
dataset1,subject_overall,,b2,252,297.1740772244709,286.38688569293015,190.86903033333334,44.98414313666667,1809.4547726333333,229.80767274166664
dataset1,subject_overall,,b3,252,536.8210698598546,502.54999447834126,329.3058792,48.14396922333333,2518.924417333333,506.05176290750006
dataset1,subject_overall,,b4,252,506.6048555485582,417.7909042442448,384.32848106666665,58.613696823333335,2578.3238243,394.87876256166663
dataset1,subject_overall,,GQ_prc5_95,252,0.9044226058201059,0.10062939876736501,0.9154599999999999,0.5129933333333333,1.0,0.17524499999999987
dataset1,subject_overall,,GQ_std_cycle_open,252,32.295832142857144,26.557217195765737,25.586816666666664,2.6258,167.46996666666666,31.160500000000003
dataset1,subject_overall,,GQ_std_cycle_closed,252,4.4548403174603175,5.329236384464811,2.8125833333333334,0.0,26.919300000000003,7.235858333333334
dataset1,subject_overall,,GNE_mean,252,1.0925027645502645,0.3215474103075707,1.0308233333333332,0.64641,4.110533333333334,0.3151999999999998
dataset1,subject_overall,,GNE_std,252,0.21503798544973543,0.1115700300148246,0.196695,0.03354,1.0766166666666666,0.11283600000000002
dataset1,subject_overall,,GNE_SNR_TKEO,252,0.1448323015873016,0.0540100413681932,0.13788666666666666,0.06715166666666667,0.8495666666666666,0.03247833333333333
dataset1,subject_overall,,GNE_SNR_SEO,252,1567618.0410996033,267755.5250292392,1567765.0216666665,669651.2036,2185952.069,351262.8005833335
dataset1,subject_overall,,GNE_NSR_TKEO,252,1.639263888888889,0.05855851461305582,1.6358166666666665,1.4732,2.2011333333333334,0.05965833333333337
dataset1,subject_overall,,GNE_NSR_SEO,252,3.021510185185185,0.03255916326191703,3.02255,2.9165333333333336,3.138733333333333,0.03471666666666673
dataset1,subject_overall,,VFER_mean,252,0.001789521521164021,0.0022949144079280662,0.0010841933333333334,5.8133333333333335e-05,0.017610333333333335,0.0012816775000000001
dataset1,subject_overall,,VFER_std,252,0.0014997809126984128,0.0016717318201266607,0.0009390583333333334,6.843333333333333e-05,0.011497233333333334,0.0012204233333333334
dataset1,subject_overall,,VFER_entropy,252,4.020686321428571,5.5712119283241535,2.3781333333333334,0.129082,40.7204,3.205326666666666
dataset1,subject_overall,,VFER_SNR_TKEO,252,102.78782281746032,114.90635851867235,68.63895000000001,3.1316666666666664,686.6661333333333,99.33086666666667
dataset1,subject_overall,,VFER_SNR_SEO,252,246.16091772486777,232.35067176551593,178.54746666666665,17.03473333333333,1662.0177333333334,188.80274999999997
dataset1,subject_overall,,VFER_NSR_TKEO,252,1.2305033994708996,0.06736082067733493,1.23025,1.01909,1.3953666666666666,0.09124166666666667
dataset1,subject_overall,,VFER_NSR_SEO,252,1.2662003968253968,0.07941530318862561,1.2644166666666667,1.0945,1.530166666666667,0.1079000000000001
dataset1,subject_overall,,IMF_SNR_SEO,252,59.85239094708995,109.8881209153649,19.2865,0.28203399999999995,920.0659999999999,50.834633333333336
dataset1,subject_overall,,IMF_SNR_TKEO,252,2.147574527513228,2.015807137550289,1.6261166666666669,0.06909966666666667,12.923466666666668,1.8357066666666664
dataset1,subject_overall,,IMF_SNR_entropy,252,12.405694933862433,10.130823542275104,9.474583333333333,0.7017933333333334,60.811800000000005,10.725516666666666
dataset1,subject_overall,,IMF_NSR_SEO,252,0.2104606865079365,0.05654028728220268,0.20525000000000002,0.09096133333333334,0.46519333333333335,0.07478416666666665
dataset1,subject_overall,,IMF_NSR_TKEO,252,12.162500264550264,8.135505390905031,9.515516666666667,2.1188,52.09556666666666,7.113291666666667
dataset1,subject_overall,,IMF_NSR_entropy,252,0.180159876984127,0.029194962344593012,0.17851166666666665,0.11137000000000001,0.29006333333333334,0.03709416666666665
dataset1,subject_overall,,mean_Log_energy,252,9.832617724867726,0.4959186460325102,9.9294,6.8933,10.637766666666666,0.6258333333333344
dataset1,subject_overall,,mean_MFCC_0th_coef,252,14.938332275132277,2.131979767026608,15.128966666666667,7.5831333333333335,20.8239,2.6517999999999997
dataset1,subject_overall,,mean_MFCC_1st_coef,252,6.29485958994709,1.559134970001959,6.408333333333333,1.0782833333333333,10.672766666666666,1.924316666666666
dataset1,subject_overall,,mean_MFCC_2nd_coef,252,1.2638363889417987,1.6032308726005853,1.3456199999999998,-3.4020333333333332,5.5643,2.1830021666666664
